username,full_text
HidupNusantara,danantara menjadi super investment vehicle atau kendaraan investasi yang sangat penting
HidupNusantara,aset danantara menjadi kunci untuk bisa mempercepat masuknya danadana dari asing untuk proyek yang berkelanjutan
HidupNusantara,danantara super holding yang dirancang untuk mengelola investasi besar dengan tujuan mendorong pertumbuhan ekonomi
ahmadsantoooo,danantara mantap semoga sukses aamiin
HidupNusantara,danantara akan menginvestasikan sumber daya alam dan aset negara ke dalam proyekproyek berkelanjutan
ahmadsantoooo,bismillah danantara semoga sukses
s_prbw,negara sedang membutuhkan tambahan modal aset utk danantara mgkn
arifbalikpapan1,tenang ada danantara yang modalin
MBLiberito,danantara semoga bisa membawa kemajuan bangsa
DiatmikaSyam,ini manfaat utama dari danantara
CandramayaL,ini manfaat utama dari danantara
ayu_danastri,ini manfaat utama dari danantara
ArtDisis,ini manfaat utama dari danantara
AdelWinny,ini manfaat utama dari danantara
Alesia89687164,danantara mampu berikan kesejahteraan bagi masyarakat
fajarnugros,masalah perijinan iya emang korup kan kita tau semua itu rumah dan komplek terbangun di daerah rawan trus mau mindahin semua itu bayar ganti untung duit dari mana danantara kita efisiensi lagi ruwet kan nah kalo ruwet ngga usah dipikir
kiraeunoia,yg kaya gini disuruh ngurusin danantara tai ledig itu
mamwot,investasi kekayaan negara untuk masa depan danantara indonesia ikut tren global dalam mengalokasikan dana demi infrastruktur yang makin kinclong mari wujudkan pembangunan berkelanjutan
seeubep,nanti jg lama dia dikasi tempat di danantara basi ni org emg ngrusak negara
G0RIP,curiga hanya untuk memuluskan jalan berdirinya danantara yang banyak cacat pada proses kelahirannya
JSaparudin85134,investasi kekayaan negara untuk masa depan danantara indonesia ikut tren global dalam mengalokasikan dana demi infrastruktur yang makin kinclong mari wujudkan pembangunan berkelanjutan
CakTugiman,dulu janji nya bukan danantaratapi yg lain
ginayandra,investasi kekayaan negara untuk masa depan danantara indonesia ikut tren global dalam mengalokasikan dana demi infrastruktur yang makin kinclong mari wujudkan pembangunan berkelanjutan
luxurltm,mana ini presiden org banjir udh antar provinsi yg artinya udh tanggung jawab pemerintah pusat masih ngomongin danantara pembisnis berkedok presiden mana peduli
tesamaw2,danantara energi baru indonesia perkuat kedaulatan bangsa
tesamaw2,danantara mempercepat pertumbuhan ekonomi nasional
Brahim_maldini,mana janjinya
pejuang_berkuda,menggenjot perekonomian indonesia dengan danantara mari kita dukung badan baru ini untuk membangun masa depan yang lebih cerah
pejuang_berkuda,danantara energi masa depan indonesia mari kita dukung upaya pemerintah dalam membangun ekonomi yang lebih berkelanjutan
pejuang_berkuda,membangun ekonomi indonesia yang lebih kuat dengan danantara mari kita dukung badan baru ini untuk membangun masa depan yang lebih cerah
ZoneVenomWar,kalau susah cari investor yah pakai danantara aja
pumopumi1,danantara energi baru indonesia perkuat kedaulatan bangsa
pejuang_berkuda,danantara kunci kemajuan ekonomi indonesia mari kita dukung upaya pemerintah dalam membangun ekonomi yang lebih maju
pumopumi1,danantara mempercepat pertumbuhan ekonomi nasional
derryakbr,danantara energi baru indonesia perkuat kedaulatan bangsa
derryakbr,danantara mempercepat pertumbuhan ekonomi nasional
s_prbw,sita asetnya buat modal danantara
guiltyashim,bni gw gapernah ada isinya cuma buat bayar ukt untuk sehari hari prefer ovo dan spay better gausah kasih income danantara affiliated
IESR,anyway daya anagata nusantara aka ini penting untuk didorong agar bisa berinvestasi dalam produksi baja hijau menurut direktur eksekutif iesr fabby tumiwa bisa diproduksi oleh pt krakatau steel persero tbk yang merupakan badan usaha
diyar_fi,makan duit pajak seenaknya dg kedok danantara si anjing
SemuaOKE710920,masih bisa percaya danantara
Diihhhhhhhhhh,yg nggak affiliasi sama danantara sih
digitalnetizen,setuju dengan pak logikanya baik sekali karena pertanyaan si ini sebenarnya bukan soal hukum tapi karena dia penasaran capresnya kalah dan sekaligus ini menunjukan bahwa akalnya sulit memahami katakata danantara bukan perusahaan negara
uchisnaga,gak ada yang mending tapi jokowi masih punya empati dalam hal ginian beliau kalo marah ya marah bukan tone deaf gue masih sakit hati banget pas di danantara prabowo bilang indonesia gak gelap tolol
BadangSetiawan,dukung danantara percepat pertumbuhan ekonomi nasional
BadangSetiawan,danantara percepat pertumbuhan ekonomi nasional
serabutannn,oh iya kyk peresmian danantara kemaren
BadangSetiawan,prabowo ajak presiden lama dan ormas keagamaan jadi pengawas danantara
BadangSetiawan,danantara energi baru indonesia perkuat kedaulatan bangsa
G0RIP,mungkin anggarannya dipakai danantara dulu mba kan sudah dijanjikan dapat tambang tapi entahlah kalau doktoral si bahlul dibatalkan mungkin tambang nya juga dibatalkan ya
KasanBaret,sby tantang pengelola danantara soal transparansi jawab keraguan publik hindari konflik kepentingan
Karimahkariim,danantara dana segar yang menguntungkan oligarki the topics via
farouk321,dewan pengawas danantara
ApinApri18560,danantara
Zaenal112358,permodalan lewat danantara bukan bentuk pinjaman tapi investasi pak yah jd klo terjadi apa apa ya resiko investasi lain hal klo permodalan lewat perbankan klo ada apa punya resiko bayar utang beserta bunga nyah
MardaniJgMw,kadang curiga aksi dan framing fake hero kayak gini tujuannya buat ngedanain danantara
KusumaJ40335609,bisa2nya membandingkan danantara sebagai wadah investasi dengan tim sukses bandingkan dengan temasek lah awokawok aneh banget poka pikirrmu mirip kayak fufufafa
afrizaldimass,perbedaan jelas danantara versi singapura diisi oleh profesional dalam manajemen investasi di indo dibuat bagibagi jabatan semenjak danantara disahkan ihsg anjlok terburuk semenjak covid bri minus 20 dalam sebulan cokk
SarahWiendy,hah blm mulai kerja trs dr 3 bln kemaren ngapain yg resmiin danantara siapa kalo gt
missdiah2,pak tom tenar karena kepribadiannya sebagai muslim saya sangat percaya jika danantara dipegang pak tom selamat tambah tua tapi muka tetep cool
wijatnaka_okky,setelah nyimak penjelasan prof nya ttg danantara kesimpulan pendeknya kita mau jd tukang renten tp duitna euweuh kadon ngandelkeun dongeng boga itu boga ieu tp abdi sebagai manusia positive vibe only yakin lah soalnya kita kan jago dongeng aya chance lah bisa nipu batur
cnbcindonesia,himbara bakal rasakan sejumlah manfaat ini berkat kehadiran danantara
BattoAjax,sdh sy katakan danantara itu mirip groeifonds di belanda yg skrg manfaatnya besar bagi bangsa bld anda nuduh tp tak paham dasarnya
BattoAjax,disini anda terlihat bodoh tidak mau belajar danantara itu ada dasar hukumnya pembuat uunya ada kalau dasar hukumnya ada berarti itu sdh melalui proses yg semestinya tinggal pelaksanaan amp pengawasan menuju hasil yg ditargetkan
democrazymedia,keras dulu tim sukses prabowogibran pengamat ekonomi kini kritik danantara bisa jadi alat politik
RevolterIsBack,danantara dalam bayangbayang skandal blbi pemerhati ekonomipolitik arif mirdjaja menilai danantara jelas merupakan sentralisme kapital yang berpotensi menjadi safe heaven korupsi akankah danantara akan menjadi problem ekonomi baru di indonesia bagaimana dengan
Dimas26316340,danantara merupakan fondasi baru bagi kemandirian ekonomi indonesia
kang_tikus1032,wkwkwk sama bro gua saldo baru terima uang masa tiba tiba minus di bni mobile padahal saldo akhir di mutasi normal gk bisa dipakai transfer email cs bni gk dijawab2 jir bahaya kali uang di pakai ni
Dimas26316340,danantara optimalkan pengelolaan aset negara
solusihukum_,saat muncul danantara mungkin masih banyak netizen yang bingung soal holding dan kenapa pemegang saham tidak bisa digugat atas kerugian perusahaan sebenarnya apa itu perusahaan holding
Dimas26316340,danantara hadir bangun negeri
adaisudimana,harusnya geram napi residivis koruptor jadi pejabat danantara
Dimas26316340,danantara indonesia instrumen pembangunan nasional kekuatan masa depan indonesia
siggitiga,malah danantara di duluin
andremirza,abis dah duit dihambur2in wkwkwkw gass pak gaaass jangan kasih sisa duit danantara
DenCybr,buka website danantara tapi koq gini
natasha_saja,pabrik tekstil yang tutup dan bangkrut bukan cuma sritex ini akibat ulah rejim berkelanjutan yang tidak melindungi industri dalam negeri trus duit rakyat via danantara mau dijadikan bancakan kalian lagi target akhir kalian cuma pemilu
hirauanz,wts wtb jual beli aplikasi premium bergaransi canva hbomax amazon prime loklok viu viu wetv bstation youku catchplay iqiyi viki lightroom crunchyroll apple music vision vidio capcut vsco youtube minta bekasi danantara guru eminem sahur
pengusahacanti1,dengan danantara menjadikan indonesia lebih baik dalam mengelola keuangan
GatesDayat87489,selamat datang danantara oligarki makin jaya
ortinkbehavior,kepala lagi pusing nya lagi cenat cenutnya tbtb ada yg minta jelasin efesiensi sama danantara itu apa yaudah gue jawab intinya negara makin gajelas aku pun pusing kak
MituBaby97,danantara instrumen pembangunan nasional
MituBaby97,danantara indonesia
saerozi63,badan2 baru dibentuk juga danantara dll hanya untuk balas jasa timses kampanye pilpres pragib bagi2 jabatan untuk apa gemoy kabinet tambah lemak lagi di badan2 baru tapi maksa utk seseorang krn berjasauppresiden ini mau jadi presiden bener apa cari cuan
MituBaby97,danantara hadir bangun negeri
MituBaby97,danantara dengan pengawasan ketat
MituBaby97,danantara merupakan fondasi baru bagi kemandirian ekonomi indonesia
nottodayyea,perusahaan pailit kok malah dijadiin danantara wwkwkwk
roedh251179,si kaya mabok ktnya ga butuh investor tpi butuh teknologi investor mksd lo gmn lil atau mksd lo akrg bs sombong krn punya modal tpi bingung ga bs klola
fajaronline,ferry latuhihin pasar ragu danantara tak punya visimisi jelas
SiputLpg,program danantara adalah wujud nyata komitmen membangun negeri mari kita dukung dan wujudkan manfaatnya
SiputLpg,saatnya bersinergi program danantara membuka peluang baru untuk kemajuan bangsa mari kita dukung penuh
SiputLpg,dengan program danantara kita membangun masa depan yang lebih inklusif dan berdaya mari kita sukseskan bersama
SiputLpg,dukungan kita adalah kunci keberhasilan program danantara saatnya bertindak dan menciptakan perubahan nyata
SiputLpg,program danantara hadir sebagai solusi untuk pemerataan dan pembangunan berkelanjutan dukung dan wujudkan dampaknya
Ardityo46,danantara akan menerima rp 325 t hasil efisiensi apbn amp diproyeksikan menjadi katalisator pertumbuhan ekonomi indonesia secara global
Ardityo46,danantara dibentuk untuk memperkuat ekonomi indonesia di masa depan
ecdemomanian,katanya biar seakan pemerintahan ini bersih jadi meningkatkan kepercayaan ke si danantara gtuuu bundd
Ardityo46,danantara adalah konsolidasi semua kekuatan ekonomi kita
Ardityo46,danantara adalah superholding yang dirancang untuk mengelola investasi besar dengan tujuan mendorong pertumbuhan ekonomi
GangsaMaul3252,dari danantara indonesia siap mendunia bersamasama kita wujudkan indonesia yang lebih maju dan berdaya saing global
GangsaMaul3252,danantara ikut tren dunia alokasikan kekayaan negara untuk memperkuat infrastruktur demi masa depan indonesia yang lebih gemilang
h4r1523,miskinkan semua yg terlibat lumayan buat modal danantara
PesulapBotak,danantara mengelola aset bumn yang bertujuan meningkatkan ekonomi nasional
PesulapBotak,danantara mengelola aset bumn yang bertujuan meningkatkan ekonomi nasional
Balola72,kepala2 daerah lagi pusing apbd di potong oleh wowo buat danantara jadi bingung buat mengembalikan modal kampanye duitnya ga ada
RenaldReyz63409,berat banget nnti abah harus bersihbersih dari 0 apalagi kekayaan negara dikuras danantara
txtpulangkantor,danantara jd bias orientasi antara peran komersial atau pso klo pso utk penyelamatan entitas ga perlu sampai bikin superholding cukup ditakeover national asset management under pt ppa lalu kasih pmn buat bentuk bumn baru jgn semua2 ke danantara gini kabur investor nanti
sinpotv,fahri hamzah danantara bisa bangkitkan raksasa tidur bumn indonesia
ravidnath,danantara indonesia menawarkan solusi baru untuk meningkatkan pendapatan negara dan menarik investor global guna mempercepat pertumbuhan ekonomi dan memperkuat posisi indonesia di pasar global
missamiyaa,pmilik baruny ya danantara
perdamen,persolannya korupsi sekarang udah gagah2an bisa jd danantara akan jd kasus terbedar abad ini jk dilihat mentalitas pejabat yang gak berubah dari dulu hingga sekarang kalau cuma geram wamen jg geram tapi untuk komit dgn janji atau sumpahnya ya nanti dulu itu hanya omon2
fajaronline,eks dewan pakar prabowogibran kritik danantara ini entitas bisnis atau entitas politik
dazzle_dav41448,danantara menjadi inovasi dalam pengelolaan aset negara agar lebih produktif dan berdaya saing optimal bagi perekonomian nasional
AdindaPurwati,danantara energi baru indonesia perkuat kedaulatan bangsa
Damarwulansar1,danantara energi baru indonesia perkuat kedaulatan bangsa
HanaFarhaanaa,danantara energi baru indonesia perkuat kedaulatan bangsa
alvinulido,pesan yg gue harap bisa sampai ke pembaca adalah bahwa masalah danantara itu jauh lebih pelik dari potensi penyelewengan dana bahkan kalaupun tata kelola danantara sebagai institusi bagus memaksa deficit spending agar pemerintah cosplay jadi manajer investasi itu jelek
MilenialGaruda,danantara energi baru indonesia perkuat kedaulatan bangsa
CarlaOctam8060,bersama danantara bangun ntb maju
VaniaZerah,dari sumber daya alam hingga kecerdasan buatan danantara siap mendorong indonesia menjadi pusat investasi global
danantara_korup,cuihhh
BANGSAygSUJUD,danantara menurut dahlan iskan adalah pemikiran langkah dan strategi besar membuat indonesia tidak bergantung asing modal 150 t bisa menjadi 1000 t pengelolaan keuangan negara lebih transparan dan meminimalisir korupsi optimis dan melangitlah indonesia
un_dreilukas,danantara cmn punya aset sedangkan jalankan pabrik itu pakai duit cash puyeng yang ada nanti danantara
VaniaZerah,danantara dikelola dengan prinsip transparansi dan produktivitas tinggi mari dukung investasi yang membangun
VaniaZerah,dengan danantara potensi indonesia bisa dioptimalkan saatnya investasi cerdas untuk negeri yang lebih maju
GiriTaufik,danantara nggak nerima duit dari apbn mas
Gapazhe,wkwwkkkwkwkkw danantara yg real cuma 10 90 nya bosok ngelawak nie org
krakencumicumi,kalo di seret ga bisa dimainkan lah danantara nanti hahahhaha
VaniaZerah,danantara bukan sekadar dana investasi ini adalah langkah strategis untuk memajukan ekonomi indonesia
VaniaZerah,masa depan investasi indonesia semakin cerah danantara hadir untuk mengelola aset nasional dengan cerdas dan berkelanjutan
alvinulido,tulisan lanjutan tentang danantara ada beberapa konsep yang ga bisa dimuat di kolom kompas riskadjusted return apa comparable assets etc tapi ide besarnya kurang lebih terangkum di sini
_Haris_Srg,sayapun berpikir seperti itu soal investasi butuh dana besar bisa buat konsorsium kalau perlu suntikan bisa dgn skema pmn dana efisiensi disuntikan ke danantara yakinlah pasti utk ikn kita lihat saja
jpnncom,ekonom ugm soroti pengelolaan danantara
ditigabelas,bukan supporter pemerintah baca mengawasi tapi melihat ini sebagai langkah yg mungkin baik melihat ramenya danantara kemarin
ferdiannuur,apakah danantara bisa dipercaya karena integritas dan kompetensi atau justru hanya euforia pujian para simpatisan pejabat yang telah terpesona dengan narasi story telling namun sarat kontroversi
PanitiaMbg,sementara itu danantara
TanoMaskhe,betul memang mas pras awam soal hukum udah jelas bpi danantara itu juga mengelola perusahaan bumn bpi danantara juga dibiayai dari apbn kalau cermat masuk semua itu pasal2 itu mas pras istilah badan gk masalah apa bedanya dgn bumn kan badan usaha juga toh
atrajaas,nina di klo jdi nina sbg wni yang resah sm danantara yg ktanya investasi psti bkal bilang pak prabowo bisa ngga bilang investasi ke pendidikan rakyat indonesia pak prabowo bisa ngga bilang investasi ke kesehatan rakyat indonesia bisa ngga engga kan
DoankWarto,penjelasan yg bagus dan masuk akal dari profesor ferry latuhihin tentang danantara publik wajib ngerti
MoccaBottol,danantara energi baru indonesia perkuat kedaulatan bangsa
MoccaBottol,presiden prabowo ajak presiden lama dan ormas keagamaan jadi pengawas danantara
MoccaBottol,pembentukan danantara merupakan langkah strategis serta mempercepat pertumbuhan ekonomi nasional
CarlaOctam8060,bersama danantara bangun ntb lebih maju
MoccaBottol,dengan danantara bumn tidak ketergantungan modal asing
MoccaBottol,danantara maksimalkan dividen bumn
KersaNatia1293,bersama danantara bangun ntb lebih maju
Danantara87,bekasi aman dari banjir stay safe
AamiraKeinarra,mana mungkin rakyat percaya danantara mati bunuh diri gara gara pemerintah ga bayar koq disuruh loyal dengan indonesia mana mungkin loyal dengan penjahat penjahat sendiri aja masuk neraka duaaaar indonesia bubaaar erick luhut rk koq di percaya
Creaminallll,asli kocak ini kemaren pas ngusulin pake danantara buat bantu sritex entah para dewan ini emang beneran gatau atau pura2 gatau ttg manuver2 tersembunyi eksekutif polos banget percaya danantara wkwkkw
nauvalarif14579,bumn tok pokoke terus bentuk danantara keberlanjutan
white_lyly,mau ada bencana mau ada korupsi mau ada demo nih org kyk ga lihat berita dia jalanin idup sesuai rencananya aja retreat jalan terus danantara jalan terus apalagi cuma banjir ya ngalir aja smpe indonesia tenggelam
Baron224455,danantara membangun masa depan yang lebih maju
Michell34204002,bersama danantara bangun masa depan yang lebih maju
gendhos8888,waspada danantara sjk awal sdh tercium bau busuknyalagi2 rakyat yg jd korbannya
PendukungC69541,ayo dukung program danantara yang akan terus membantu perkembangan perekonomian di indonesia yang membebani bumn
sisigelap404,danantara dengan pengawasan ketat dan strategi mitigasi yang tepat danantara memiliki peluang besar untuk sukses
FelisaTika,danantara kunci menuju kedaulatan ekonomi indonesia saatnya kita mengelola aset sendiri mengurangi ketergantungan pada modal asing dan membangun masa depan ekonomi yang lebih kuat dan mandiri
FelisaTika,ojk mendukung langkah strategis danantara dalam memperkuat investasi nasional dengan strategi investasi yang lebih komprehensif diharapkan pertumbuhan ekonomi indonesia semakin solid dan berdaya saing global
_Haris_Srg,menteri merangkap jadi pengurus danantara bknlah rangkap jabatan selain danantara bkn perusahaan jabatan yg disandang sebagai pengelola danantara bkn jg kategori jabatan yg tergolong pejabat negara saya baru saja berdiskusi dgn presiden zalenskyy bro utk tahu soal ini
grrraargh,ingat paaakjangan ikut2an mulyono bikin ikn pdahal ga ada di kampanye ini danantara apalagi
pengusahacanti1,keputusan strategis dalam pembentukan danantara bertujuan untuk menjadikan aset negara lebih produktif transparan dan bermanfaat bagi perekonomian nasional
ud24185000,dukung danantara indonesia
pengusahacanti1,danantara membawa harapan baru dalam manajemen aset bumn menciptakan sistem ekonomi yang lebih modern efisien dan kompetitif di tingkat global
Justkodok1,danantara ga dipercaya publik
pengusahacanti1,danantara hadir sebagai inovasi dalam pengelolaan aset negara memperkuat investasi nasional dan mendukung pembangunan ekonomi yang berkelanjutan
pengusahacanti1,strategi danantara memastikan bahwa aset negara tidak hanya dikelola dengan lebih baik tetapi juga memberikan manfaat optimal bagi pertumbuhan ekonomi
pengusahacanti1,melalui danantara indonesia mengkonsolidasikan kekuatan ekonominya untuk menghadapi tantangan global dengan pengelolaan aset yang lebih terintegrasi
pengusahacanti1,keputusan strategis dalam pembentukan danantara bertujuan untuk menjadikan aset negara lebih produktif transparan dan bermanfaat bagi perekonomian nasional
pengusahacanti1,danantara membawa harapan baru dalam manajemen aset bumn menciptakan sistem ekonomi yang lebih modern efisien dan kompetitif di tingkat global
rimzy727272,aset 1400 trilyun itu jualin dulu bayar utang baru gembar gembor danantara
kompasiana,prinsip independensi transparansi dan diversifikasi perlu diterapkan dalam mengelola danantara jika ingin menjadikannya sebagai motor penggerak ekonomi nasional
adnrxst,lapangan kerja bakal terbuka jika ada kepastian hukum ini aja dulu dikerjain memakai prinsip pareto penegakan hukum adalah hal pertama kali mesti yang dilakukan pemerintah mbg amp danantara bisa dilakukan kemudian
grrraargh,dulu ikn gada di kampanyekan tetiba nongol ajaskrng danantara pun sama
JogjaTON,yang bisa difuture di bitwyre apa aja
nirvanative,halo sender aku pernah nulis artikel tentang danantara dan dampaknya mungkin bisa membantu
pengusahacanti1,danantara hadir sebagai solusi strategis dalam mengelola aset negara agar lebih efisien dan transparan untuk mendorong pertumbuhan ekonomi indonesia
pengusahacanti1,pengelolaan aset negara kini semakin terstruktur dengan danantara memastikan investasi yang lebih optimal dan daya saing ekonomi yang lebih kuat
pengusahacanti1,konsolidasi aset bumn melalui danantara membuka peluang baru bagi pengelolaan ekonomi yang lebih profesional dan berorientasi jangka panjang
Kamto97182089,ayo dukung danantara
pengusahacanti1,danantara menjadi langkah besar dalam menciptakan sistem manajemen aset yang lebih transparan efisien dan berdampak bagi pembangunan nasional
TauranYance,danantara tdk masuk janji anda pak presiden dan janji nya membuka lapangan kerja seluas2 nya dan memberikan makan gizi gratis ingaat itu
pistachiogb,ini kasus korupsi yg ada buat ngalihin isu danantara yak
NadaMelody__,danantara skenario tuk 2029 pesta pora the genk ndas mu
korava88free,ihh bener bgt rasanya muak ngeliat mereka apalagi negara lg susah terus dia nyuruh org lain buat efisiensi tp kekeh mau retreat2an belum lg danantara emg niatan buat korupsi aja itu mah bkn buat rakyat capekkk bgt
randy_sadly,sinetron sedang di mainkan dan piaraan rezim sedang berakting tetap fokus kasus pagar laut pengoplosan dan danantara
gaellry,haloo ada yang bisa kasih insight tentang danantara sebanyakbanyaknya bebas mau berita opini atau apapun help ini buat tugas
entitalfatih,next season kasus danantara
ekarabbit,laut milik negara dipagar kapitalis finalis occrp ditunjuk jd pengawas danantara tren bakar gedung buat ngilangin bukti rakyatnya efisiensi pejabatnya foya2 menteri2nya asbun no solutions
TumbuhanL,kan kalo diakuisisi danantara mereka bisa isi sritex dengan orang mereka rekrut orang lama sritex dan nabung suara deh buat pemilu 2029 tindakan preventif kita sebagai masyarakat harus bisa memperkirakan kemungkinan terburuk kan jadi kalo kejadian beneran tinggal kan
MeNebula20134,itu puncak gunung es yg digunakan untuk menutupi danantara another 1 kuadriliun yg harusnya buat bikin lapangan pekerjaan dihamburkan dan udah pasti bakal dikorupsi lagi
OposisiCerdas,dulu tim sukses prabowogibran pengamat ekonomi kini kritik danantara bisa jadi alat politik
hailn4than,udah lah doa doa ke pemerintah ga mempan makanya dia tau mending join aja sekalian ikut nambang ikut danantara ikut serobot lahan masyarakat adat bagus kan jadi kuat peran tokoh tokoh agama di masyarakat
5ulimansaranan1,saatnya indonesia mandiri dalam mengelola investasi danantara indonesia membawa visi besar untuk memperkuat perekonomian melalui optimalisasi aset dan investasi jangka panjang
Dexilious95,keknya pindah ke cimb aja deh tabungannya aga ngeri sedap denger podcast soal danantara ini
5ulimansaranan1,kedaulatan ekonomi dimulai dari pengelolaan investasi yang cerdas dan strategis danantara indonesia hadir sebagai solusi untuk meningkatkan daya saing indonesia
5ulimansaranan1,investasi yang dikelola dengan baik akan menjadi pilar utama pembangunan indonesia danantara indonesia berperan dalam menciptakan nilai tambah bagi ekonomi bangsa
5ulimansaranan1,danantara indonesia hadir untuk mengoptimalkan investasi strategis bagi pertumbuhan ekonomi nasional dengan tata kelola yang transparan dan profesional mari dukung pengelolaan aset berkelanjutan
RyaWiedy,danantara itu apa
luminousmatthew,yah karena cuma diperingatkan wkwkw coba langsung action koruptor langsung hukum mati dan semua hartanya dirampas dan keluarganya dimiskinkan di jamin modal danantara bisa lebih banyak wkwkwkw
ptrr00,dr dua yg dia pimpin gk ad yg beres malah nambah danantara
SaputraGone,danantara tak termasuk psn
RachelAmber55,danantara menjadi inovasi dalam pengelolaan aset negara agar lebih produktif dan berdaya saing optimal bagi perekonomian nasional
ErwinRockerkids,namajuga presiden penjahat hamdia kan hidup cuma mikirin dirinya sendiri liat ja dapet harta banyak dari jilat mertuanya sekarang mertuanya gak ngasilin duit lagi buat dia sekarang jilat jokowi biar jadi presiden dah jadi presiden enak aset dia segunung apalagi nambah danantara
arez_kun,mas gausah singgung danantara bisa ga saya ganyaman liat muka luhut aja udh ga nyaman plis jgn spill danantara lagi
dodongc,jadi danantara by definition bukan perusahaan negara dan juga tidak dibiayai oleh apbnapbd kalaupun jawabannya ya saya rasa kita paham substansi dari pembuat uu nya adalah mencegah konflik kepentingan yg menurut sy sgt mungkin terjadi jika mentri itu ada di danantara
arnold5508,sekedar ingatkan bahwa payung danantara itu uu 12025 yang merupakan perluasan uu 192003 jadi tidak tepat kalau argumentasinya tidak termasuk di ketiganya yang justru menimbulkan ambiguitas keberadaan entitas bpi
Safrudin_09,lhaanda ngutip omongan prof gak boleh ada figur politik di danantara prof sendiri tim suksesnya kegiatan politik mebagongkan kan
Kobar_Baru,hotel mahal sedangkan perjalanan dinas sudah dipotong buat perut meraka danantara
ulpltdkolaka,danantara indonesia
cnbcindonesia,viral omongan keras soal danantara ferry latuhihin blakblakan
dinosartos,danantara dapat mengembangkan strategi yang lebih komprehensif untuk meningkatkan investasi dari dana yang dikelolanya guna memperkuat dan mendukung pertumbuhan ekonomi nasional
citera_,kadin ntt meyakini bahwa danantara dapat menjadi katalis utama dalam transformasi ekonomi menghadirkan solusi modern bagi dunia usaha serta meningkatkan kesejahteraan masyarakat
bergeloralah,harus transparan semua jenderal menteri bahlil ada 21 proyek hilirisasi didanai danantara nilai investasi us45 miliar lewat com
prastow,meski awal soal hukum saya coba berpendapat ya mas hemat saya pengaturan di pp 102025 tsb tidak bertentangan dg uu 392008 alasannya rangkap jabatan yang dilarang di uu terbatas pada tiga hal di pasal 23 sedangkan bpi danantara tidak termasuk di ketiganya
AgungLa03498428,danantara transparan profesional dan bebas korupsi danantara dibangun dengan sistem tata kelola ketat dan transparan
rudysirwi,danantara belum seminggu diresmikan udah dibilang ada korupsi subhanallah
abinandar2003,jadi sebenarnya presiden dan para menteri ga mikirin rakyat presiden hanya mikir gmana caranya periode berikut jd presiden lagi makanya ada koalisi permanen makanya ada danantara liat ja program kerjanyaga jelas
abinandar2003,makanya jangan heran kmaren ada berita koalisi permanen ya itu bertujuan ke arah presiden seumur hidup semacam xi jin ping atau kim jong un tidak heran jika danantara isinya org2 prabowo jokowi dan luhut
ureungpungoo,kehadiran danantara bisa memberikan dorongan positif bagi pasar keuangan indonesia menurut henry wibowo head of indonesia research amp strategy jp morgan lembaga ini dapat menjadi faktor utama dalam pergerakan pasar modal ke depan
fajarNTT_,kamar dagang dan industri kadin ntt mendukung penuh danantara sebagai pilar pertumbuhan ekonomi indonesia dengan potensi besar dalam menarik investasi dan menciptakan lapangan kerja danantara diharapkan dapat memperkuat industri lokal dan membuka peluang usaha bagi umkm
koecengooyen,danantara menghadirkan teknologi modern energi bersih dan pembangunan berkelanjutan bersama kita wujudkan indonesia yang lebih maju dan mandiri
manaf_sabil,kadin ntt meyakini bahwa dengan kolaborasi antara pemerintah pelaku usaha dan investor danantara dapat menjadi pusat inovasi dan pengembangan bisnis yang mempercepat transformasi ekonomi indonesia
EdnaKellyGtrs,danantara solusi baru untuk tingkatkan pendapatan negara dan tarik investor dunia
januar_ari1409,inilah keunggulan danantara terbuka bagi publik
januar_ari1409,danantara menjadikan ekonomi indonesia tidak bergantung pada modal asing
januar_ari1409,danantara poros investasi untuk membangun negeri
GarryKuswandi,danantara ini superholdings bencong dibilang kayak temasek bisa jadi tapi juga megang peran fundings like gic lebih fatal lagi assetnya konsolidasi big banks bbri amp bmri padahal asset banks hanya lt10 yang likuid sisanya provisions jangan kaget kalo idr terus melemah
hariankompas,dinamika perekonomian global ditengarai menjadi dalang atas anjloknya ihsg dan saham perbankan pelat merah kejelasan danantara juga memengaruhi persepsi investor
nadeeeelll,wallahi semua barang baru kebijakan pemerintah tanpa kajian mendalam kyk mbg danantara koperasi desa merah putih ini klo pd akhirnya menyengsarakan rakyat tolong laknat semua pengambil kebijakan yg terlibat di dalamnya ya allah they deserve it more than anything
KusumaJ40335609,padahal sudah dijelaskan dengan gamblang kalo mau bikin proyek seperti danantara itu harus dijauhkan dari figur politik lho
ilyzky,wkwkw asli danantara scam doang kayak judol
Mochice1,danantara jelek bgt bibit gua pada turun aseeemmm
azwar6102,mbg itu juga tidak semua sekolah seperti berita di tv di lampung tidak terdengar ada apa tidak belum di 37 provinsi lain paling satu dua sekolah setiap provinsinya benar yang dikatakan danantara program hanya karena mimpi bapaknya prabowo apa prabowo punya kompetensi
ucin84,katanya danantara akan meningkatkan investasi asing dan optimalkan asetaset negara
LanangJagad31,knapa mesti geram pak sementara bapak angkat finalis occrp sbgai dewan penasehat lembaga danantara
kusumaputri9898,ojk dukung danantara langkah baru perkuat investasi nasional
kusumaputri9898,danantara sebuah langkah strategis menuju kedaulatan ekonomi
